step 0: train loss 3.1927, val loss 3.1932
iter 166: loss 0.3542, time 18.34ms, mfu 0.07%
iter 167: loss 0.3628, time 18.58ms, mfu 0.07%
iter 168: loss 0.3037, time 18.71ms, mfu 0.07%
iter 169: loss 0.3151, time 18.49ms, mfu 0.07%
iter 170: loss 0.3442, time 18.87ms, mfu 0.07%
iter 171: loss 0.3293, time 18.20ms, mfu 0.07%
iter 172: loss 0.3120, time 18.60ms, mfu 0.07%
iter 173: loss 0.2888, time 20.40ms, mfu 0.07%
iter 174: loss 0.3449, time 18.23ms, mfu 0.07%
iter 175: loss 0.3384, time 17.79ms, mfu 0.07%
iter 176: loss 0.3480, time 18.48ms, mfu 0.07%
iter 177: loss 0.3505, time 18.54ms, mfu 0.07%
iter 178: loss 0.3158, time 19.07ms, mfu 0.07%
iter 179: loss 0.3444, time 18.26ms, mfu 0.07%
iter 180: loss 0.3201, time 18.55ms, mfu 0.07%
iter 181: loss 0.3071, time 18.14ms, mfu 0.07%
iter 182: loss 0.2988, time 18.30ms, mfu 0.07%
iter 183: loss 0.2662, time 18.59ms, mfu 0.07%
iter 184: loss 0.2993, time 18.68ms, mfu 0.07%
iter 185: loss 0.2856, time 18.21ms, mfu 0.07%
iter 186: loss 0.2851, time 18.37ms, mfu 0.07%
iter 187: loss 0.2837, time 18.28ms, mfu 0.07%
iter 188: loss 0.3146, time 18.67ms, mfu 0.07%
iter 189: loss 0.3041, time 18.64ms, mfu 0.07%
iter 190: loss 0.2844, time 18.44ms, mfu 0.07%
iter 191: loss 0.2705, time 18.43ms, mfu 0.07%
iter 192: loss 0.2941, time 18.78ms, mfu 0.07%
iter 193: loss 0.2855, time 17.97ms, mfu 0.07%
iter 194: loss 0.3255, time 18.81ms, mfu 0.07%
iter 195: loss 0.2756, time 22.64ms, mfu 0.07%
iter 196: loss 0.2702, time 18.40ms, mfu 0.07%
iter 197: loss 0.3102, time 18.88ms, mfu 0.07%
iter 198: loss 0.2881, time 18.39ms, mfu 0.07%
iter 199: loss 0.2676, time 18.91ms, mfu 0.07%
step 200: train loss 0.2639, val loss 0.2701
saving checkpoint to out/basic
iter 200: loss 0.2796, time 219.23ms, mfu 0.06%
iter 201: loss 0.2652, time 18.38ms, mfu 0.06%
iter 202: loss 0.2720, time 18.60ms, mfu 0.06%
iter 203: loss 0.2646, time 18.72ms, mfu 0.06%
iter 204: loss 0.2531, time 18.82ms, mfu 0.06%
iter 205: loss 0.2775, time 17.99ms, mfu 0.06%
iter 206: loss 0.2627, time 18.47ms, mfu 0.06%
iter 207: loss 0.2491, time 18.23ms, mfu 0.07%
iter 208: loss 0.2409, time 18.56ms, mfu 0.07%
iter 209: loss 0.2357, time 20.86ms, mfu 0.06%
iter 210: loss 0.2428, time 18.98ms, mfu 0.07%
iter 211: loss 0.2364, time 18.42ms, mfu 0.07%
iter 212: loss 0.2476, time 18.29ms, mfu 0.07%
iter 213: loss 0.2645, time 18.30ms, mfu 0.07%
iter 214: loss 0.2506, time 18.84ms, mfu 0.07%
iter 215: loss 0.2461, time 18.50ms, mfu 0.07%
iter 216: loss 0.2298, time 18.98ms, mfu 0.07%
iter 217: loss 0.2332, time 18.69ms, mfu 0.07%
iter 218: loss 0.2270, time 18.45ms, mfu 0.07%
iter 219: loss 0.2452, time 18.53ms, mfu 0.07%
iter 220: loss 0.2401, time 18.73ms, mfu 0.07%
iter 221: loss 0.2346, time 18.02ms, mfu 0.07%
iter 222: loss 0.2273, time 18.68ms, mfu 0.07%
iter 223: loss 0.2117, time 18.43ms, mfu 0.07%
iter 224: loss 0.2299, time 18.82ms, mfu 0.07%
iter 225: loss 0.2341, time 18.04ms, mfu 0.07%
iter 226: loss 0.2522, time 18.45ms, mfu 0.07%
iter 227: loss 0.2213, time 19.48ms, mfu 0.07%
iter 228: loss 0.2244, time 19.19ms, mfu 0.07%
iter 229: loss 0.2396, time 17.97ms, mfu 0.07%
iter 230: loss 0.2388, time 19.21ms, mfu 0.07%
iter 231: loss 0.2048, time 18.86ms, mfu 0.07%
iter 232: loss 0.2373, time 18.96ms, mfu 0.07%
iter 233: loss 0.2361, time 19.16ms, mfu 0.07%
iter 234: loss 0.2560, time 17.97ms, mfu 0.07%
iter 235: loss 0.2730, time 18.33ms, mfu 0.07%
iter 236: loss 0.2548, time 18.92ms, mfu 0.07%
iter 237: loss 0.2417, time 18.64ms, mfu 0.07%
iter 238: loss 0.2242, time 19.19ms, mfu 0.07%
iter 239: loss 0.2309, time 18.84ms, mfu 0.07%
iter 240: loss 0.2107, time 18.65ms, mfu 0.07%
iter 241: loss 0.2292, time 18.62ms, mfu 0.07%
iter 242: loss 0.2126, time 18.63ms, mfu 0.07%
iter 243: loss 0.2355, time 18.12ms, mfu 0.07%
iter 244: loss 0.2238, time 19.18ms, mfu 0.07%
iter 245: loss 0.2158, time 19.04ms, mfu 0.07%
iter 246: loss 0.2117, time 18.51ms, mfu 0.07%
iter 247: loss 0.2207, time 18.65ms, mfu 0.07%
iter 248: loss 0.2182, time 18.50ms, mfu 0.07%
iter 249: loss 0.2264, time 18.80ms, mfu 0.07%
step 250: train loss 0.2108, val loss 0.2148
saving checkpoint to out/basic
iter 250: loss 0.2068, time 219.91ms, mfu 0.06%
iter 251: loss 0.2339, time 18.28ms, mfu 0.06%
iter 252: loss 0.2243, time 19.07ms, mfu 0.06%
iter 253: loss 0.2258, time 17.57ms, mfu 0.06%
iter 254: loss 0.2093, time 18.49ms, mfu 0.06%
iter 255: loss 0.1978, time 18.50ms, mfu 0.06%
iter 256: loss 0.2133, time 18.52ms, mfu 0.06%
iter 257: loss 0.2272, time 17.88ms, mfu 0.07%
iter 258: loss 0.2312, time 18.37ms, mfu 0.07%
iter 259: loss 0.2071, time 18.71ms, mfu 0.07%
iter 260: loss 0.2027, time 18.48ms, mfu 0.07%
iter 261: loss 0.2207, time 18.20ms, mfu 0.07%
iter 262: loss 0.2185, time 19.15ms, mfu 0.07%
iter 263: loss 0.1927, time 18.26ms, mfu 0.07%
iter 264: loss 0.2074, time 18.42ms, mfu 0.07%
iter 265: loss 0.2142, time 19.07ms, mfu 0.07%
iter 266: loss 0.2097, time 18.81ms, mfu 0.07%
iter 267: loss 0.1937, time 19.50ms, mfu 0.07%
iter 268: loss 0.2207, time 22.73ms, mfu 0.07%
iter 269: loss 0.2177, time 19.52ms, mfu 0.07%
iter 270: loss 0.2109, time 21.26ms, mfu 0.06%
iter 271: loss 0.2166, time 19.26ms, mfu 0.06%
iter 272: loss 0.2029, time 18.28ms, mfu 0.07%
iter 273: loss 0.1966, time 19.87ms, mfu 0.07%
iter 274: loss 0.1962, time 18.16ms, mfu 0.07%
iter 275: loss 0.2229, time 20.73ms, mfu 0.07%
iter 276: loss 0.2157, time 18.66ms, mfu 0.07%
iter 277: loss 0.1948, time 18.65ms, mfu 0.07%
iter 278: loss 0.2196, time 17.98ms, mfu 0.07%
iter 279: loss 0.2056, time 18.57ms, mfu 0.07%
iter 280: loss 0.1728, time 18.56ms, mfu 0.07%
iter 281: loss 0.2147, time 20.69ms, mfu 0.07%
iter 282: loss 0.1956, time 22.48ms, mfu 0.07%
iter 283: loss 0.2156, time 18.03ms, mfu 0.07%
iter 284: loss 0.2153, time 18.57ms, mfu 0.07%
iter 285: loss 0.2313, time 18.52ms, mfu 0.07%
iter 286: loss 0.2086, time 18.61ms, mfu 0.07%
iter 287: loss 0.2191, time 19.43ms, mfu 0.07%
iter 288: loss 0.1986, time 18.35ms, mfu 0.07%
iter 289: loss 0.1967, time 18.78ms, mfu 0.07%
iter 290: loss 0.1903, time 18.21ms, mfu 0.07%
iter 291: loss 0.2104, time 18.87ms, mfu 0.07%
